ID, UPDATE, DatetimeUTC, TimestampUTC, N_N71, BaB_A91, BaG_A91, BaR_A91, BsB0_S11, BsG0_S11, BsR0_S11, BbsB0_S11, BbsG0_S11, BbsR0_S11, BaB0_A11, BaB0_A12, BaG0_A11, BaG0_A12, BaR0_A11, BaR0_A12, BsB1_S11, BsG1_S11, BsR1_S11, BbsB1_S11, BbsG1_S11, BbsR1_S11, BaB1_A11, BaB1_A12, BaB1_A91, BaG1_A11, BaG1_A12, BaG1_A91, BaR1_A11, BaR1_A12, BaR1_A91, T0_S11, U0_S11, P0_S11, T1_S11, U1_S11, P1_S11, Ng_N71, BaBg_A91, BaGg_A91, BaRg_A91, BsB0g_S11, BsG0g_S11, BsR0g_S11, BbsB0g_S11, BbsG0g_S11, BbsR0g_S11, BaB0g_A11, BaB0g_A12, BaG0g_A11, BaG0g_A12, BaR0g_A11, BaR0g_A12, BsB1g_S11, BsG1g_S11, BsR1g_S11, BbsB1g_S11, BbsG1g_S11, BbsR1g_S11, BaB1g_A11, BaB1g_A12, BaB1g_A91, BaG1g_A11, BaG1g_A12, BaG1g_A91, datacol, BaR1g_A11, BaR1g_A12, BaR1g_A91, T0g_S11, U0g_S11, P0g_S11, T1g_S11, U1g_S11, P1g_S11, NN_N71, BaBN_A91, BaGN_A91, BaRN_A91, BsB0N_S11, BsG0N_S11, BsR0N_S11, BbsB0N_S11, BbsG0N_S11, BbsR0N_S11, BaB0N_A11, BaB0N_A12, BaG0N_A11, BaG0N_A12, BaR0N_A11, BaR0N_A12, BsB1N_S11, BsG1N_S11, BsR1N_S11, BbsB1N_S11, BbsG1N_S11, BbsR1N_S11, BaB1N_A11, BaB1N_A12, BaB1N_A91, BaG1N_A11, BaG1N_A12, BaG1N_A91, BaR1N_A11, BaR1N_A12, BaR1N_A91, T0N_S11, U0N_S11, P0N_S11, T1N_S11, U1N_S11, P1N_S11, Ba1_A81, Ba2_A81, Ba3_A81, Ba4_A81, Ba5_A81, Ba6_A81, Ba7_A81, X1_A81, X2_A81, X3_A81, X4_A81, X5_A81, X6_A81, X7_A81
87642, 0, 2019-01-01T01:00:00.000Z, 20181231170000, 333.8, 0.05, 0.03, 0.04, 5.18, 3.22, 1.4, 0.75, 0.49, 0.5, 0.39, 0.38, 0.31, 0.31, 0.27, 0.27, 2.58, 1.76, 0.44, 0.57, 0.18, 0.27, 0.22, 0.24, , 0.2, 0.2, , 0.2, 0.16, , 41.2, 8.4, 723.1, 41.2, 8, 717.8, 19, 0.12, 0.13, 0.08, 1.28, 0.86, 0.58, 0.57, 0.32, 0.48, 0.1, 0.11, 0.11, 0.14, 0.14, 0.15, 1.26, 0.55, 0.48, 0.5, 0.26, 0.29, 0.15, 0.16, , 0.09, 0.14, , , 0.3, 0.21, , 0.1, 0.1, 1.4, 0.1, 0.1, 0.6, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 27, 3, 27, 3, 27, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 0.69, 0.55, 0.46, 0.56, 0.26, 0.25, 0.15, 0.02, 0.02, 0.018, 0.017, 0.015, 0.015, 0.012
87643, 0, 2019-01-01T02:00:00.000Z, 20181231180000, 421.3, 0.02, 0.03, 0.01, 1.92, 1.38, 0.63, 0.01, 0.26, 0.07, 0.12, 0.1, 0.14, 0.11, 0.09, 0.07, 1.65, 1.06, 0.67, 0.3, 0.14, 0.07, 0.17, 0.13, , 0.14, 0.12, , 0.14, 0.07, , 41.2, 7.5, 722.7, 41.5, 6.4, 717.3, 35.8, 0.21, 0.22, 0.16, 0.55, 0.39, 0.47, 0.5, 0.25, 0.42, 0.2, 0.18, 0.07, 0.14, 0.15, 0.18, 0.71, 0.47, 0.55, 0.47, 0.27, 0.36, 0.13, 0.16, , 0.17, 0.11, , , 0.07, 0.23, , 0.2, 0.3, 1.4, 0.1, 0.1, 0.6, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 27, 3, 27, 3, 27, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 0.12, 0.08, 0, 0.19, -0.05, -0.18, -0.18, 0.002, 0, -0.002, -0.007, -0.004, -0.014, -0.015
87644, 0, 2019-01-01T03:00:00.000Z, 20181231190000, 403.8, 0.13, 0.11, 0.09, 0.88, 0.73, 0.6, 0.22, 0.21, 0.1, 0.16, 0.2, 0.19, 0.19, 0.13, 0.14, 1.44, 0.83, 0.61, 0.3, 0.24, 0.03, 0.27, 0.22, , 0.17, 0.18, , 0.22, 0.14, , 41.4, 6.5, 722.5, 41.5, 7.1, 717.3, 43.6, 0.24, 0.2, 0.16, 0.68, 0.4, 0.48, 0.51, 0.22, 0.43, 0.33, 0.12, 0.18, 0.15, 0.13, 0.17, 0.52, 0.43, 0.39, 0.61, 0.3, 0.34, 0.15, 0.15, , 0.1, 0.13, , , 0.2, 0.17, , 0.1, 0.1, 1.5, 0.1, 0.2, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 27, 3, 27, 3, 27, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 0.82, 0.75, 0.72, 0.7, 0.66, 0.59, 0.6, 0.019, 0.022, 0.024, 0.026, 0.027, 0.033, 0.034
87645, 0, 2019-01-01T04:00:00.000Z, 20181231200000, 339, 0.1, 0.08, 0.06, 1.76, 0.99, 0.46, 0.03, 0.28, 0.29, -0.02, 0.18, 0.07, 0.15, -0.02, 0.13, 2.05, 1.07, 0.42, -0.16, 0.17, 0.34, 0.24, 0.2, , 0.26, 0.17, , 0.19, 0.13, , 41.3, 7.7, 722.5, 41.4, 6.8, 717.4, 80.1, 0.23, 0.21, 0.16, 0.7, 0.47, 0.4, 0.5, 0.27, 0.32, 0.39, 0.19, 0.26, 0.15, 0.09, 0.21, 0.65, 0.43, 0.55, 0.45, 0.27, 0.31, 0.2, 0.14, , 0.26, 0.14, , , 0.34, 0.18, , 0.1, 0.1, 1.5, 0.1, 0.3, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 26, , 3, 26, , 3, 26, , 29, 29, 29, 29, 29, 29, 0.56, 0.49, 0.44, 0.4, 0.35, 0.3, 0.29, 0.013, 0.014, 0.014, 0.014, 0.013, 0.014, 0.014
87646, 0, 2019-01-01T05:00:00.000Z, 20181231210000, 370.7, 0.08, 0.08, 0.05, 2.11, 1.59, 1.01, -0.01, 0.1, 0.4, 0.05, 0.15, 0.14, 0.16, 0.04, 0.1, 1.39, 0.89, 0.74, -0.12, -0.03, 0.25, 0.14, 0.15, , 0.19, 0.13, , 0.11, 0.1, , 41.4, 7.3, 722.7, 41.7, 6.6, 717.7, 46.8, 0.25, 0.22, 0.19, 0.81, 0.46, 0.6, 0.31, 0.2, 0.49, 0.32, 0.17, 0.17, 0.18, 0.06, 0.18, 0.72, 0.38, 0.47, 0.54, 0.34, 0.27, 0.11, 0.15, , 0.18, 0.08, , , 0.24, 0.15, , 0.1, 0.4, 1.5, 0.1, 0.1, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 0.31, 0.26, 0.18, 0.19, 0.14, 0.04, 0.01, 0.009, 0.009, 0.008, 0.015, 0.007, 0.005, 0.002
87647, 0, 2019-01-01T06:00:00.000Z, 20181231220000, 321.1, 0.08, 0.06, 0.04, 1.27, 0.79, 0.48, -0.28, 0.18, 0.44, 0.14, 0.14, 0.09, 0.11, 0.05, 0.1, 0.89, 0.8, 0.55, -0.3, 0.21, 0.39, 0.16, 0.14, , 0.12, 0.1, , 0.21, 0.09, , 41.5, 7, 723.1, 41.5, 7, 718.3, 15.6, 0.18, 0.18, 0.12, 0.46, 0.25, 0.45, 0.29, 0.28, 0.33, 0.17, 0.14, 0.18, 0.13, 0.1, 0.16, 0.85, 0.54, 0.46, 0.49, 0.21, 0.46, 0.18, 0.1, , 0.26, 0.12, , , 0.35, 0.15, , 0.1, 0.1, 1.5, 0.1, 0.1, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 0.58, 0.54, 0.49, 0.48, 0.44, 0.42, 0.38, 0.011, 0.013, 0.013, 0.014, 0.013, 0.017, 0.018
87648, 0, 2019-01-01T07:00:00.000Z, 20181231230000, 276.8, 0.05, 0.03, 0.03, 0.9, 1.03, 0, -0.11, 0.11, -0.02, -0.17, 0.1, -0.08, 0.08, -0.12, 0.06, 0.34, 0.94, 0.02, -0.2, 0.13, -0.08, 0.02, 0.13, , 0.08, 0.08, , 0.04, 0.07, , 41.3, 7.5, 723.9, 41.3, 7.6, 718.9, 33.3, 0.31, 0.27, 0.22, 1, 0.73, 0.61, 0.56, 0.3, 0.35, 0.09, 0.17, 0.08, 0.16, 0.13, 0.2, 0.81, 0.77, 0.44, 0.44, 0.22, 0.34, 0.1, 0.2, , 0.24, 0.2, , , 0.17, 0.23, , 0.1, 0.2, 1.5, 0.1, 0.2, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 0.37, 0.3, 0.26, 0.02, 0.19, 0.15, 0.11, 0.009, 0.01, 0.011, 0.01, 0.011, 0.012, 0.011
87649, 0, 2019-01-01T08:00:00.000Z, 20190101000000, 238.3, 0.07, 0.08, 0.05, 1.31, 0.96, 0.73, 0.87, 0.2, 0.05, 0.24, 0.11, 0.16, 0.12, 0.14, 0.08, 1.03, 0.64, 0.29, 0.95, 0.24, 0.05, 0.03, 0.06, , 0.08, 0.06, , 0.02, 0.03, , 41.3, 8, 724.4, 41.7, 8.1, 719.4, 23.4, 0.24, 0.23, 0.19, 0.69, 0.54, 0.6, 0.58, 0.29, 0.35, 0.22, 0.2, 0.13, 0.19, 0.02, 0.22, 0.69, 0.45, 0.43, 0.47, 0.24, 0.3, 0.26, 0.14, , 0.18, 0.18, , , 0.31, 0.16, , 0.2, 0.3, 1.5, 0.1, 0.1, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 0.32, 0.3, 0.23, 0.03, 0.19, 0.09, 0.1, 0.01, 0.011, 0.012, 0.013, 0.012, 0.01, 0.011
87650, 0, 2019-01-01T09:00:00.000Z, 20190101010000, 250.4, 0.06, 0.04, 0.04, 0.99, 0.62, 0.43, -0.01, 0.25, 0.16, 0.07, 0.08, 0.06, 0.06, 0.11, 0.07, 1.36, 0.55, 0.3, 0.18, 0.22, 0.16, -0.09, 0.13, , -0.03, 0.12, , -0.06, 0.11, , 41.6, 8.1, 724.5, 41.6, 8.6, 719.5, 26, 0.49, 0.43, 0.34, 0.71, 0.42, 0.41, 0.42, 0.25, 0.53, 0.35, 0.26, 0.18, 0.18, 0.14, 0.24, 0.82, 0.41, 0.48, 0.45, 0.21, 0.41, 0.62, 0.24, , 0.64, 0.2, , , 0.35, 0.17, , 0.1, 0.2, 1.4, 0.1, 0.3, 0.5, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 0.41, 0.34, 0.31, 0.29, 0.28, 0.25, 0.24, 0.009, 0.01, 0.01, 0.011, 0.014, 0.018, 0.018
87651, 0, 2019-01-01T10:00:00.000Z, 20190101020000, 813.9, 0.08, 0.06, 0.04, 0.19, 1.27, 0.96, 0.54, 0.48, 0.45, 0.21, 0.16, 0.19, 0.13, 0.22, 0.11, 0.37, 0.99, 0.77, 0.64, 0.4, 0.38, 0.24, 0.15, , 0.23, 0.12, , 0.16, 0.08, , 41.5, 9.2, 724.6, 41.5, 9.1, 719.1, 574, 0.36, 0.34, 0.26, 1.64, 0.79, 0.62, 0.6, 0.23, 0.4, 0.06, 0.22, 0.07, 0.22, 0.14, 0.23, 1.07, 0.62, 0.49, 0.5, 0.25, 0.35, 0.26, 0.22, , 0.14, 0.15, , , 0.14, 0.19, , 0.1, 0.2, 1.5, 0.1, 0.1, 0.6, 60, 56, 56, 56, 26, 26, 26, 26, 26, 26, 3, 26, 3, 26, 3, 26, 26, 26, 26, 26, 26, 26, 3, 25, , 3, 25, , 3, 25, , 29, 29, 29, 29, 29, 29, 0.42, 0.39, 0.31, 0.5, 0.27, 0.25, 0.19, 0.009, 0.009, 0.008, 0.008, 0.009, 0.009, 0.011
